id,genres,cast,vote_average,director,keywords
70,"['Drama', 'Action', 'Thriller', 'War']","['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Eli Roth', 'Michael Fassbender', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido', 'B.J. Novak', 'Omar Doom', 'August Diehl', 'Denis Ménochet', 'Sylvester Groth', 'Martin Wuttke', 'Mike Myers', 'Julie Dreyfus', 'Léa Seydoux', 'Richard Sammel', 'Alexander Fehling', 'Rod Taylor', 'Samm Levine', 'Paul Rust', 'Michael Bacall', 'Arndt Schwering-Sohnrey', 'Petra Hartung', 'Volker Michalowski', 'Ken Duken', 'Christian Berkel', 'Tina Rodriguez', 'Lena Friedrich', 'Ludger Pistor', 'Jana Pallaske', 'Wolfgang Lindner', 'Michael Kranz', 'Rainer Bock', 'André Penvern', 'Sebastian Hülk', 'Buddy Joe Hooker', 'Sönke Möhring', 'Carlos Fidel', 'Hilmar Eichhorn', 'Patrick Elias', 'Eva Löbau', 'Salvadore Brandt', 'Jasper Linnewedel', 'Wilfried Hochholdinger', 'Olivier Girard', 'Michael Scheel', 'Leo Plank', 'Andreas Tietz', 'Bo Svenson', 'Enzo G. Castellari', 'Christian Brückner', 'Samuel L. Jackson', 'Bela B', 'Noemi Besedes', 'Hélène Cardona', 'Jake Garber', 'Sabrina Rattey', 'Alex Boden', 'Guido Föhrweißer', 'Harvey Keitel', 'Andrew Napier', 'Gregory Nicotero', 'Quentin Tarantino', 'Vitus Wieser', 'Bea-Marie Rück', 'Daniela Schwerdt']",8.2,Quentin Tarantino,"['paris, france', 'guerrilla', 'cinema', 'self sacrifice', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'nazi', 'masochism', 'sadism', 'anti-semitism', 'swastika', 'german occupation of france', 'violence', 'british politics', 'hitler', 'adolf hitler']"
71,"['Adventure', 'Drama']","['Emile Hirsch', 'Marcia Gay Harden', 'William Hurt', 'Jena Malone', 'Brian H. Dierker', 'Catherine Keener', 'Vince Vaughn', 'Kristen Stewart', 'Hal Holbrook', 'Thure Lindhardt', 'Signe Egholm Olsen', 'Jim Gallien', ""James J. O'Neill"", 'Malinda McCollum', 'Paul Knauls', 'Zach Galifianakis', 'Craig Mutsch', 'Jim Beidler', 'John Decker', 'John Hofer', 'Jerry Hofer', 'Terry Waldner', 'Robin Mathews', 'Candice Campos', 'Steven Wiig', 'Floyd Wall', 'Bryce Walters', 'Jim Davis', 'Cheryl Francis Harrington', 'R.D. Call', 'Haley Ramm', 'Merritt Wever', 'Everett ""Insane Wayne"" Smith', 'John Jabaley', 'Leonard Knight', 'Matt Contreras', 'Denise Sitton', 'Sharon Olds', 'Carine McCandless', 'J. Nathan Simmons', 'Parris Mosteller', 'Timothy Levine', 'Haley Sweet']",7.8,Sean Penn,"['parent child relationship', 'camping', 'self-discovery', 'wilderness', 'biography', 'based on a true story', 'alaska', 'journey']"
72,"['Drama', 'Comedy']","['François Cluzet', 'Omar Sy', 'Audrey Fleurot', 'Anne Le Ny', 'Clotilde Mollet', 'Alba Gaïa Bellugi', 'Cyril Mendy', 'Christian Ameri', 'Marie-Laure Descoureaux', 'Salimata Kamate', 'Absa Diatou Toure', 'Dominique Daguier', 'François Caron', 'Thomas Solivérès', 'Grégoire Oestermann', 'Dorothée Brière', 'Joséphine de Meaux', 'Émilie Caen', 'Caroline Bourg', 'Sylvain Lazard', 'Jean-François Cayrey', 'Ian Fenelon', 'Renaud Barse', 'François Bureloup', 'Nicky Marbot', 'Benjamin Baroche', 'Jérôme Pauwels', 'Antoine Laurent', 'Fabrice Mantegna', 'Hedi Bouchenafa', 'Michel Winogradoff', 'Elliot Latil', 'Yun-Ping He', 'Kévin Wamo', 'Pierre-Laurent Barneron', 'Philippe Pozzo di Borgo']",8.2,Olivier Nakache,"['male friendship', 'masseuse', 'friendship', 'based on a true story', 'aristocrat', 'paragliding', 'interracial friendship', 'unlikely friendship', 'duringcreditsstinger', 'quadriplegic', 'quadriplegia']"
73,"['Comedy', 'Romance']","['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns', 'Jameson Thomas', 'Alan Hale', 'Arthur Hoyt', 'Blanche Friderici', 'Charles C. Wilson', 'Irving Bacon', 'Ward Bond', 'James Burke', 'Ray Cooke', 'Joseph Crehan', 'Mickey Daniels', 'Bess Flowers', 'Milton Kibbee', 'Claire McDowell', 'Dolores Fuller', 'Wallis Clark']",7.9,Frank Capra,"['miami, florida', 'newspaper', 'marriage', 'reporter', 'screwball comedy', 'socialite', 'pre-code', 'based on short story', 'screwball', 'hitchhiking', 'rich girl', 'brat']"
74,"['Drama', 'Family', 'Fantasy']","['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell', 'Henry Travers', 'Beulah Bondi', 'Frank Faylen', 'Ward Bond', 'Gloria Grahame', 'H.B. Warner', 'Frank Albertson', 'Todd Karns', 'Samuel S. Hinds', 'Mary Treen', 'Virginia Patton', 'Charles Williams', 'Sarah Edwards', 'William Edmunds', 'Lillian Randolph', 'Argentina Brunetti', 'Robert J. Anderson', 'Ronnie Ralph', 'Jean Gale', 'Jeanine Ann Roose', 'Danny Mummert', 'Georgie Nokes', 'Sheldon Leonard', 'Frank Hagney', 'Ray Walker', 'Charles Lane', 'Edward Keane', 'Carol Coombs', 'Karolyn Grimes', 'Larry Simms', 'Jimmy Hawkins', 'Jean Acker', 'Ernie Adams', 'Monya Andre', 'Stanley Andrews', 'Sam Ash', 'Jack Bailey', 'Louise Bates', 'Mary Bayless', 'Beth Belden', 'Brooks Benedict', 'Joseph E. Bernard', 'Al Bridge', 'Buz Buckley', 'Marian Carr', 'Adriana Caselotti', 'Lane Chandler', 'Michael Chapin', 'Tom Chatterton', 'Jack Cheatham', 'Harry Cheshire', 'Edward Clark', 'Tom Coleman', 'Ellen Corby', 'Bryn Davis', 'Lew Davis', 'Harry Denny', 'Helen Dickson', 'Dick Elliott', 'Tom Fadden', 'Frank Fenton', 'Eddie Fetherston', 'Sam Flint', 'Lee Frederick', 'Dick Gordon', 'Jack Gordon', 'Herschel Graham', 'Joseph Granby', 'Charles Halton', 'Carl Eric Hansen', 'Herbert Heywood', 'Harry Holman', 'Art Howard', 'Bert Howard', 'Arthur Stuart Hull', 'John Indrisano', 'Eddie Kane', 'Carl Kent', 'Milton Kibbee', 'Effie Laird', 'Mike Lally', 'Harold Landon', ""Meade 'Lux' Lewis"", 'Jack Lomas', 'J. Farrell MacDonald', 'Irene Mack', 'Wilbur Mack', 'Charles Meakin', 'Priscilla Montgomery', 'Bert Moorhouse', 'Evelyn Moriarty', 'Philip Morris', 'George Noisom', ""Bob O'Connor"", ""Frank O'Connor"", ""Lynn O'Leary-Jameson"", 'Moroni Olsen', 'Garry Owen', 'Netta Packer', 'Franklin Parker', 'Suzanne Ridgeway', 'Mark Roberts', 'Constantine Romanoff', 'Cy Schindell', 'Almira Sessions', 'Cedric Stevens', 'Brick Sullivan', 'Charles Sullivan', 'Carl Switzer', 'Max Wagner', 'Larry Wheat', 'Charles C. Wilson']",8.2,Frank Capra,"['holiday', 'angel', 'bank', 'suicide attempt', 'desperation', 'small town', 'great depression', 'family business ', 'black and white', 'nervous breakdown', 'old house', 'alternate reality', 'newlywed', 'told in flashback', 'guardian angel', 'high school dance', 'christmas', 'building and loan']"
75,['Drama'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm', 'Susse Wold', 'Anne Louise Hassing', 'Lars Ranthe', 'Alexandra Rapaport', 'Sebastian Bull Sarning', 'Steen Ordell Guldbrandsen', 'Daniel Engstrup', 'Troels Thorsen', 'Søren Rønholt', 'Hana Shuan', 'Jytte Kvinesdal', 'Josefine Gråbøl', 'Bjarne Henriksen', 'Nicolai Dahl Hamilton', 'Øyvind Hagen-Traberg', 'Allan Wibor Christensen', 'Rikke Bergmann', 'Rasmus Lind Rubin', 'Frank Rubæk', 'Jacob Højlev Jørgensen', 'Nina Christrup', 'Birgit Petersen', 'Karina Fogh Holmkjær', 'Heidi Gross', 'Marie Aktor', 'Mona C. Soliman', 'Mie Ravn Nielsen', 'Kim Westi Rasmussen', 'Thomas Ravn', 'Katrine Brygmann', 'Ole Dupont']",8.1,Thomas Vinterberg,"['parent child relationship', 'lie', 'pedophilia', 'kindergarten', 'father', 'children', 'teacher', 'school', 'pedophile', 'divorce']"
76,"['Horror', 'Thriller', 'Adventure']","['Roy Scheider', 'Richard Dreyfuss', 'Robert Shaw', 'Lorraine Gary', 'Murray Hamilton', 'Jay Mello', 'Chris Rebello', 'Jeffrey Kramer', 'Lee Fierro', 'Jeffrey Voorhees', 'Carl Gottlieb', 'Craig Kingsbury', 'Susan Backlinie', 'Jonathan Filley', 'Robert Nevin', 'Ted Grossman', 'Peter Benchley', 'Belle McDonald', 'Dorothy Fielding', 'Fritzi Jane Courtney', 'David Engelbach', 'Joseph Oliveira', 'Beverly Powers', 'Ayn Ruymen', 'Christopher Sands', 'Rex Trailer', 'Denise Cheshire', 'Steven Spielberg', 'Phil Murray']",7.6,Steven Spielberg,"['based on novel or book', 'beach', 'fishing', 'atlantic ocean', 'bathing', 'shipwreck', 'shark attack', 'police chief', 'ferry boat', 'dying and death', 'animal attack', 'long island', 'dead child', 'skinny dipping', 'shark', 'great white shark', 'dead dog', 'child killed by animal', 'fourth of july', 'severed leg', 'fishing boat', 'animal horror']"
77,"['Adventure', 'Science Fiction']","['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Joseph Mazzello', 'Ariana Richards', 'Samuel L. Jackson', 'Wayne Knight', 'Gerald R. Molen', 'Miguel Sandoval', 'Cameron Thor', 'Christopher John Fields', 'Whit Hertford', 'Dean Cundey', 'Jophery C. Brown', 'Tom Mishler', 'Greg Burson', 'Adrian Escober', 'Richard Kiley', 'Brad M. Bucklin', 'Laura Burnett', 'Michael Lantieri', 'Gary Rodriguez', 'Lata Ryan', 'Brian Smrz', 'Rip Lee Walker', ""Robert 'Bobby Z' Zajonc""]",7.9,Steven Spielberg,"['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park']"
78,"['Adventure', 'Animation', 'Fantasy']","['Sumi Shimamoto', 'Ichirō Nagai', 'Gorō Naya', 'Yōji Matsuda', 'Yoshiko Sakakibara', 'Iemasa Kayumi', 'Hisako Kyouda', 'Mahito Tsujimura', 'Mina Tominaga', 'Kōhei Miyauchi', 'Jōji Yanami', 'Minoru Yada', 'Rihoko Yoshida', 'Tetsuo Mizutori', 'Masako Sugaya', 'Takako Sasuga', 'Chika Sakamoto', 'Tarako', 'Mugihito', 'Akiko Tsuboi', 'Takeki Nakamura', 'Takako Ôta', 'Bin Shimada', 'Shinji Nomura', 'Hisako Ayuhara', 'Hōchū Ōtsuka']",7.9,Hayao Miyazaki,"['saving the world', 'human vs nature', 'fungus spores   ', 'future', 'airplane', 'post-apocalyptic future', 'giant insect', 'toxic', 'based on manga', 'ecology', 'duringcreditsstinger', 'anime']"
79,"['Action', 'Crime']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine', 'Michael Madsen', 'Julie Dreyfus', 'Chiaki Kuriyama', ""Shin'ichi Chiba"", 'Gordon Liu Chia-Hui', 'Michael Parks', 'Michael Bowen', 'Jun Kunimura', 'Kenji Ohba', 'Yuki Kazamatsuri', 'James Parks', 'Sakichi Satō', 'Jonathan Loughran', 'Yoshiyuki Morishita', 'Tetsuro Shimaguchi', 'Kazuki Kitamura', 'Yoji Tanaka', 'Sō Yamanaka', 'Juri Manase', 'Akaji Maro', 'Goro Daimon', 'Shun Sugata', 'Zhang Jin Zhan', 'Hu Xiaohui', 'Ambrosia Kelley', 'Sachiko Fujii', 'Shu Lan Tuan', 'Ai Maeda', 'Naomi Kusumi', 'Hikaru Midorikawa', 'Issey Takahashi']",8.0,Quentin Tarantino,"['japan', 'coma', 'martial arts', 'kung fu', 'asia', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'female yakuza', 'animated scene', 'wedding', 'samurai sword']"
80,"['Crime', 'Thriller']","['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'James Cromwell', 'Kim Basinger', 'Danny DeVito', 'David Strathairn', 'Ron Rifkin', 'Matt McCoy', 'Paul Guilfoyle', 'Paolo Seganti', 'Elisabeth Granli', 'Sandra Taylor', 'Steve Rankin', 'Graham Beckel', 'Allan Graf', 'Precious Chong', 'Symba', 'Bob Clendenin', 'Lennie Loftin', 'Will Zahrn', 'Amber Smith', 'Darrell Sandeen', 'Michael Warwick', 'Simon Baker', 'Shawnee Free Jones', 'Thomas Rosales Jr.', 'Shane Dixon', 'Norman Howell', 'Brian Lally', 'Don Pulford', 'Chris Short', 'John Mahon', 'Tomas Arana', 'Michael McCleery', 'George Yager', 'Jack Conley', 'Ginger Slaughter', 'Jack Knight', 'John H. Evans', 'Gene Wolande', 'Brian Bossetta', 'Michael Chieffo', 'Gwenda Deacon', 'T.J. Kennedy', 'Ingo Neuhaus', 'Robert Harrison', 'Jim Metzler', 'Robert Barry Fleming', 'Jeremiah Birkett', 'Salim Grant', 'Karr Washington', 'Noel Evangelisti', 'Marisol Padilla Sánchez', 'Jeff Sanders', 'Steven Lambert', 'Jordan Marder', 'Gregory White', 'April Breneman', 'Lisa Worthy', 'Beverly Sharpe', 'Colin Mitchell', 'John Slade', 'Brenda Bakke', 'Kevin Maloney', 'Patrice Walters', 'Rebecca Klingler', 'Irene Roseen', 'Scott Eberlein', 'David St. James', 'Bodie Newcomb', 'Jeff Austin', 'Robert Foster', 'Kevin Patrick Kelly', 'Henry Marder', 'Monty McKee', 'Henry Meyers', 'Michael Ossmann', 'Dick Stilwell', 'Jess Thomas', 'Robert Thompson', 'Jody Wood', 'Jimmy Ortega', 'Nectar Rose', 'Rocco Salata', 'Dell Yount', 'Jan Citron', 'Scott McKinley', 'Gilbert Rosales', 'J.P. Romano', 'Chris Palermo', 'April Audia', 'Jana Rains Austinson', 'Priscilla Cory', 'Fred Lerner', 'Anne Zogby']",7.8,Curtis Hanson,"['corruption', 'call girl', 'detective', 'shotgun', 'domestic violence', 'corpse', 'district attorney', 'movie star', 'good cop bad cop', 'neo-noir', '1950s']"
